Wed Sep 30 2020 17:12:51 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Wed Sep 30 2020 17:13:14 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Wed Sep 30 2020 17:13:23 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: subscriber
Wed Sep 30 2020 17:13:55 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: subscriber
Wed Sep 30 2020 17:14:05 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | Failed login attempt: author
Wed Sep 30 2020 17:14:15 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Wed Sep 30 2020 17:14:32 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Wed Sep 30 2020 17:14:39 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author2
Wed Sep 30 2020 17:23:17 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: author
Wed Sep 30 2020 17:24:07 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author2
Wed Sep 30 2020 17:25:32 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author2
Wed Sep 30 2020 17:26:32 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author2
Wed Sep 30 2020 17:26:41 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: subscriber
Wed Sep 30 2020 17:27:17 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | ERROR | Request failed for: subscriber 
 User tried GET request
Wed Sep 30 2020 18:21:57 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Wed Sep 30 2020 18:23:18 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Wed Sep 30 2020 18:23:24 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author2
Wed Sep 30 2020 18:25:59 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author2
Wed Sep 30 2020 18:26:04 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author1
Wed Sep 30 2020 18:26:20 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author1
Wed Sep 30 2020 18:26:26 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
